Time,DeltaT
3.988461733,366.2313498
3.982734406,377.709236
3.974666345,386.5896801
3.965203804,394.294255
3.953002106,385.8876687
3.945531679,377.7443366
3.937687731,369.2850994
3.930092797,361.8847293
3.922305442,353.8887133
3.914155886,345.7326174
3.906006329,338.0934571
3.899215032,330.9669779
3.892491647,323.5666078
3.886930329,315.2887236
3.88318757,306.4391255
3.877799807,297.7384389
3.87245732,289.0483889
3.868586281,281.1387947
3.86559811,274.2210575
3.861862896,267.2477444
3.85912374,258.4843022
3.856135569,249.3581542
3.853147398,240.7585147
3.84905645,232.4680946
3.843933872,223.4422339
3.838811293,214.5166605
3.834222316,206.125953
3.82963334,198.169824
3.823763719,189.3069302
3.817206344,180.3855355
3.808324836,171.7566456
3.793601869,162.0381754
3.786731745,158.456037
3.77952219,169.3873571
3.775846265,177.8114938
3.772591293,186.8937661
3.769656483,196.4147955
3.764249317,206.8279644
3.755782833,215.3052837
3.741775782,222.9157253
3.735425919,233.5775233
3.732325692,244.3972738
3.729719343,255.9297608
3.726308602,268.2114146
3.723361179,281.0422681
3.72075483,293.799375
3.71760065,305.694568
3.713948441,316.1077369
3.71096027,326.1552748
3.7079721,335.6324286
3.695396881,340.3856306
3.682174225,344.351995
3.668321372,353.1523377
3.66215348,361.30947
3.657322604,369.0042948
3.653437982,377.0072246
3.644971498,381.8920539
3.636896322,372.2185041
3.634121592,363.3430744
3.625996614,354.0397521
3.615232084,345.0907784
3.604880207,337.8115889
3.598050102,328.6937982
3.594421609,319.7347957
3.589341718,310.9479532
3.581721883,301.6112017
3.572010328,294.5687512
3.554952853,291.7128412
3.543622705,289.1241742
3.536276785,282.3526894
3.519318916,281.217771
3.51239632,290.589623
3.508511698,299.3910907
3.499132162,307.4885971
3.488839573,304.3490461
3.485353374,296.7021364
3.480871118,288.0272814
3.467696001,283.7513939
3.456965751,282.4111903
3.455364946,290.1082437
3.451736453,301.4532492
3.448748282,309.5702558
3.446507154,317.1607539
3.443790635,327.8504728
3.44093829,340.6462258
3.437044613,354.279606
3.431715708,364.265718
3.418119531,371.1199019
3.400880084,372.6736543
3.387704221,365.3488213
3.370308798,358.7708834
3.356712621,351.875217
3.349276673,343.675184
3.332956663,339.6889375
3.318015809,334.7500392
3.308852085,327.1293156
3.297418774,319.6177938
3.288019171,311.5446629
3.275994657,308.780493
3.261240563,311.0021995
3.244183088,307.6250993
3.232255306,303.4364313
3.224003358,296.262415
3.215603045,288.6654736
3.205959403,280.4555872
3.194414198,278.6458565
3.178721077,280.1161531
3.16803262,271.8540191
3.158895713,262.4916172
3.149758806,254.2497336
3.13872556,248.1402708
3.122290621,246.0023271
3.105855681,247.9488132
3.089106197,250.1371405
3.076245625,245.0450388
3.061033119,238.3759306
3.044598179,233.5894894
3.033564933,225.6292694
3.026005117,220.0101782
3.010234215,219.1663463
2.993799276,216.7093065
2.977364336,213.7736225
2.960929397,211.2208538
2.944814618,208.0982707
2.935529945,201.0097791
2.92581839,193.8407538
2.916231342,185.7968733
2.899671895,183.8424098
2.883236956,181.0981834
2.866802016,176.1202845
2.850367077,171.4933913
2.833932137,167.9195151
2.817497198,165.3029273
2.801062258,162.3991529
2.784627319,160.8355821
2.768192379,156.3044177
2.750723073,160.5312135
2.735945036,165.9650516
2.718887561,163.1649835
2.702452621,161.0589493
2.686017682,159.208192
2.669582743,154.8684853
2.653147803,151.0712419
2.636712864,146.6358063
2.620277924,147.5611849
2.603842985,147.8483714
2.587408045,145.8699757
2.570973106,138.594585
2.554538166,131.1596462
2.546507457,127.6176797
2.5306328,127.5219508
2.51419786,123.1503345
2.497762921,119.7998256
2.481327981,116.257859
2.464893042,119.2254526
2.448458103,120.7890234
2.432023163,121.2995772
2.415588224,121.8739501
2.399153284,122.0015886
2.382718345,121.9058597
2.366283405,121.2676676
2.349848466,120.2146505
2.333413526,118.6191701
2.316978587,116.3535879
2.300543647,114.6623786
2.284108708,115.5877573
2.267673768,115.4282092
2.251238829,114.5985594
2.234803889,113.7050904
2.21836895,112.3329772
2.201934011,109.3972932
2.185499071,106.1106035
2.169064132,102.6962754
2.152629192,99.98395872
2.136194253,97.81410534
2.119759313,95.10178862
2.103324374,91.49600287
2.086889434,87.95403633
2.070454495,85.27362922
2.054019555,82.68895093
2.037584616,79.88090539
2.021149676,75.82838511
2.004154455,71.54452017
1.988279798,68.04244064
1.971844858,65.04293745
1.955409919,62.04343425
1.938974979,59.07584066
1.92254004,56.07633747
1.9061051,53.14065349
1.889670161,51.16225776
1.873235221,49.53486773
1.856800282,47.84365848
1.840365342,46.24817806
1.823930403,44.62078803
1.807495463,42.993398
1.791060524,41.33409836
1.774625584,39.77052754
1.758190645,38.20695673
1.741755706,36.70720513
1.725320766,35.30318236
1.708885827,34.09061723
1.692450887,33.03760016
1.676015948,31.95267347
1.659581008,31.12302365
1.643146069,30.35719304
1.626711129,29.75091048
1.61027619,29.27226636
1.59384125,28.63407419
1.577406311,28.41070693
1.560971371,27.9320628
1.544536432,27.9320628
1.528101493,27.38959946
1.511666553,27.23005141
1.495231614,26.94286494
1.478796674,26.52804003
1.462361735,26.4323112
1.445926795,25.82602864
1.429491856,25.82602864
1.413056916,25.2835653
1.396621977,25.12401726
1.380187037,24.90065
1.363752098,24.42200587
1.347317158,24.42200587
1.330882219,23.91145213
1.31444728,23.71999448
1.29801234,23.65617527
1.281577401,23.08180231
1.265142461,23.0179831
1.248707522,22.92225427
1.232272582,22.34788132
1.215837643,22.31597171
1.199402703,22.22024288
1.182967764,21.64586993
1.166532824,21.61396032
1.150097885,21.61396032
1.133662945,21.03958737
1.117228006,20.91194894
1.100793066,20.91194894
1.084358127,20.72049129
1.067923188,20.20993755
1.051488248,20.20993755
1.035053309,20.20993755
1.018618369,19.95466068
1.008159771,19.62492806
